title,introdate,avg_out_of_state_score,avg_out_of_state_quintile,party,bill,house_senate,max_score,max_score_quintile,count,uquintile,sponsor,memberID
charter school pupils; transfer; ADM,2016-01-28T14:27:31,10.21,2,D,SB1393,Senate,40,3,2322,3,Martin Quezada,29
vehicle equipment; lighting,2016-01-19T13:24:45,11.19,1,R,HB2509,House,51,2,2473,3,Rick Gray,40
approved online courses; master list,2016-01-13T17:45:22,8.21,4,D,HB2207,House,40,3,10554,2,Eric Meyer,42
study committee; Arizonas 911 system,2016-01-14T16:01:47,8.87,3,R,HB2365,House,40,3,946,4,Bob Thorpe,70
internet crimes against children; appropriation.,2016-01-14T17:29:09,8.42,4,R,SB1143,Senate,40,3,448,4,Adam Driggs,28
ADOT advertising; sponsorship; nonhighway assets,2016-01-14T10:57:50,7.68,5,R,HB2250,House,25,5,508,4,Rick Gray,40
abortion clinics; medication abortions,2016-01-26T14:45:17,13.40,1,R,SB1324,Senate,60,1,5346,2,Kimberly Yee,20
schools; assessments; surveys; informed consent,2016-01-11T08:49:09,7.47,5,R,HB2088,House,30.5,5,4873,2,Mark Finchem,80
trade names; trademarks; online registration,2016-01-06T10:56:59,9.63,2,R,HB2047,House,40,3,7968,2,David W. Stevens,56
wrongful arrest; record clearance,2016-01-20T16:30:48,9.35,3,D,SB1230,Senate,22,5,60,5,Catherine Miranda,27
technical correction; AHCCCS; application process,2016-01-14T16:00:06,6.70,5,R,HB2362,House,20,5,20,5,Heather Carter,81
truth in taxation; levy increases,2016-02-01T17:04:03,8.03,4,R,SB1523,Senate,40,3,7370,2,Steve Smith,11
insurance; identity theft group policies,2016-01-14T10:06:46,10.59,2,R,HB2238,House,44,2,759,4,Karen Fann,43
judgment liens; recorded information statement,2016-01-27T16:56:58,9.67,2,R,HB2555,House,47,2,8457,2,Jeff Weninger,88
schools; audits; county school superintendent,2016-01-13T17:34:36,9.69,2,R,HB2234,House,40,3,3086,3,Paul Boyer,60
educational institutions; firearms; rights-of-way,2016-01-14T14:57:32,8.65,4,R,HB2338,House,40,3,1680,3,Kelly Townsend,53
taxation; self-reported errors; injured spouses,2016-01-14T17:40:14,12.67,1,R,HB2449,House,78.5,1,22139,1,Darin Mitchell,37
loyalty day,2016-01-20T17:03:38,9.64,2,D,HCR2036,House,48,2,1829,3,Diego Espinoza,86
elderly assistance fund; restore funding,2016-02-01T14:05:00,10.18,2,D,SB1463,Senate,40,3,796,4,Robert Meza,30
fire districts; vehicles; sales tax,2016-01-20T11:30:03,8.33,4,R,SB1209,Senate,35,5,4062,2,Sylvia Allen,6
private prison security officers; certification,2016-01-13T14:50:26,8.87,3,D,HB2175,House,66,1,5281,2,Richard C. Andrade,76
multiple sclerosis awareness week,2016-01-21T15:16:25,8.22,4,R,HCR2039,House,31,5,1207,4,Kate Brophy McGee,79
parole reform study committee,2016-01-25T10:24:55,9.29,3,D,SB1277,Senate,40,3,916,4,Martin Quezada,29
empowerment scholarship accounts; eligibility; administration,2016-01-25T11:05:47,14.92,1,R,SB1280,Senate,88,1,2499,3,Debbie Lesko,21
executive clemency board; salary; duties,2016-01-14T14:43:33,8.49,4,R,SB1132,Senate,40,3,10609,1,John Kavanagh,23
temporary open space; taxation,2016-02-01T14:03:00,8.19,4,R,SB1458,Senate,48,2,8626,2,Gail Griffin,14
board of technical registration; omnibus,2016-01-28T15:32:29,7.38,5,R,SB1422,Senate,30.5,5,1223,4,Kimberly Yee,20
separate charitable contributions; tax credit,2016-02-04T18:41:34,16.82,1,R,HB2641,House,56,1,267,5,Kate Brophy McGee,79
appropriations; community services and programs,2016-02-04T18:32:27,7.73,5,D,HB2630,House,40,3,6777,2,Rebecca Rios,75
industrial commission of Arizona; omnibus,2016-02-01T16:22:00,7.39,5,R,SB1500,Senate,48,2,52113,1,Kimberly Yee,20
firearms; state preemption; penalties,2016-01-21T15:30:27,7.86,5,R,SB1266,Senate,48,2,4812,2,Steve Smith,11
educational certification applicants; restrictions,2016-02-01T13:31:30,10.38,2,R,SB1455,Senate,44,2,2781,3,Sylvia Allen,6
technical correction; agricultural extension,2016-01-13T10:14:14,7.50,5,R,HB2164,House,15,5,20,5,Bob Thorpe,70
victim restitution; stipulated amount; hearings,2016-01-14T16:10:54,10.43,2,R,HB2376,House,40,3,17352,1,Eddie Farnsworth,52
repeal; JTED funding reductions,2016-01-06T16:30:55,8.07,4,R,HB2057,House,36,5,792,4,J. Christopher Ackerley,32
voter registration; automatic; driver licenses,2016-01-21T14:16:51,10.79,1,D,SB1260,Senate,48,2,6647,2,Barbara McGuire,8
TPT exemption; billboard rentals,2016-01-25T17:27:31,9.96,2,R,SB1310,Senate,40,3,2653,3,Gail Griffin,14
"mobile home, RV parks; prohibition",2016-01-27T14:24:28,10.00,2,R,SB1362,Senate,52,2,2778,3,Gail Griffin,14
tax notes; definitions; technical correction,2016-01-19T16:18:07,8.93,3,R,SB1187,Senate,28,5,118,5,Debbie Lesko,21
barber licenses; education qualifications,2016-01-14T13:56:03,8.35,4,R,HB2292,House,52,2,169,5,Paul Boyer,60
teacher student loans; appropriation,2015-12-11T15:26:24,9.25,3,D,SB1014,Senate,40,3,371,5,Andrew C. Sherwood,91
transparency; state bar; member dues,2016-01-13T16:08:13,7.86,5,R,HCM2003,House,23,5,729,4,Anthony Kern,64
truth in taxation; detailed notice,2016-01-14T17:59:05,8.06,4,R,HB2499,House,40,3,3585,3,Brenda Barton,84
DPS; schools; clearance cards; notifications,2016-01-05T07:56:49,8.44,4,R,HB2034,House,48,2,44252,1,Sonny Borrelli,35
fine art; TPT exemption,2016-01-25T15:43:31,8.47,4,R,HB2536,House,35,5,2225,3,Michelle B. Ugenti-Rita,87
psychologists; licensure compact,2016-01-14T18:01:51,10.06,2,R,HB2503,House,68,1,16907,1,Heather Carter,81
misconduct involving weapons; firearm storage,2016-02-03T15:10:54,9.70,2,D,HB2607,House,40,3,9691,2,Charlene R. Fernandez,34
foreign nonprofit corporations; foreign LLCs,2016-01-11T10:47:38,10.69,2,D,HB2092,House,56,1,14795,1,Ken Clark,63
driver licenses; authorized presence repeal,2015-12-23T12:42:07,10.53,2,D,SB1025,Senate,52,2,8445,2,Martin Quezada,29
human trafficking awareness month,2016-01-27T13:47:40,7.79,5,R,HCR2041,House,40.5,2,799,4,Paul Boyer,60
"initiative, referendum; vote percentage requirements",2016-02-01T13:55:23,11.21,1,R,HCR2043,House,55,1,18611,1,Javan D. Mesnard,77
campaign finance; corporate recipients; registration,2016-01-11T10:51:04,8.96,3,D,HB2098,House,40,3,12126,1,Ken Clark,63
abortion; waiting period; exceptions; rape,2016-02-01T15:26:00,14.06,1,D,SB1482,Senate,64,1,19335,1,Andrew C. Sherwood,91
lobbyists; meals; annual limit,2016-01-26T16:26:21,7.72,5,D,SB1337,Senate,40,3,1461,3,Martin Quezada,29
insurance premium tax reduction,2015-11-18T10:33:59,7.30,5,R,HB2002,House,40,3,5952,2,David Livingston,41
purple heart state; day.,2016-01-14T19:11:39,8.10,4,R,HCR2025,House,60,1,2688,3,Bob Thorpe,70
appropriation; grants; reading-intensive programs,2016-01-07T12:13:36,10.62,2,D,HB2062,House,40,3,1772,3,Mark A. Cardenas,58
distributed energy generation systems,2016-01-28T15:12:21,9.18,3,R,SB1417,Senate,41,2,16719,1,Debbie Lesko,21
teachers; human trafficking; continuing education,2016-01-14T15:16:56,7.40,5,R,HB2352,House,40,3,50,5,Heather Carter,81
charter schools; public meetings; records,2016-01-28T14:35:48,7.62,5,D,SB1396,Senate,40,3,948,4,Martin Quezada,29
racketeering; animal fighting; cockfighting,2015-12-21T11:15:39,8.20,4,D,SB1022,Senate,64,1,1841,3,Steve Farley,9
judicial elections; term of office,2016-02-01T13:13:08,10.38,2,R,SCR1020,Senate,60,1,12000,1,Don Shooter,13
VLT; fee exemptions; first responders,2015-12-09T16:13:05,8.11,4,R,SB1008,Senate,40,3,453,4,John Kavanagh,23
refugee resettlement; procedures; audit,2016-02-08T17:40:26,8.61,4,R,HB2691,House,33,5,112,5,David M. Gowan Sr.,50
TPT; utilities; manufacturing; smelting,2016-01-25T14:19:04,8.13,4,R,SB1291,Senate,40,3,3485,3,Debbie Lesko,21
universities; in-state tuition; AmeriCorps.,2016-01-26T14:10:28,9.61,2,R,HB2547,House,55,1,6108,2,Russell Bowers,90
adoption; eligibility; certification exceptions,2016-01-28T15:11:20,9.76,2,R,SB1415,Senate,40,3,16675,1,Nancy Barto,15
technical corrections; taxation,2016-01-27T10:09:20,8.30,4,R,SB1350,Senate,40,3,7310,2,Debbie Lesko,21
county development fees,2016-01-25T17:25:34,9.35,3,R,SB1306,Senate,52,2,1134,4,Gail Griffin,14
immigration; law enforcement; repeal.,2015-12-23T12:42:31,13.57,1,D,SB1026,Senate,64,1,31999,1,Martin Quezada,29
lifespan respite care program; appropriation,2016-01-14T18:13:27,7.92,5,R,HB2460,House,40,3,401,4,Kate Brophy McGee,79
health care providers; religious beliefs,2016-02-08T14:52:17,10.27,2,D,HB2664,House,40,3,9015,2,Randall Friese,45
online election information; posting,2016-02-01T15:53:58,10.62,2,D,HB2580,House,47,2,5421,2,Randall Friese,45
technical correction; notaries public; conduct,2016-01-14T11:08:42,9.07,3,R,HB2253,House,40,3,2562,3,Javan D. Mesnard,77
class six property; higher education,2016-01-14T16:02:56,9.04,3,R,HB2367,House,40,3,650,4,Bob Thorpe,70
certificate of educational convenience; placement,2016-01-26T14:00:42,9.85,2,D,SB1320,Senate,32,5,944,4,David Bradley,10
commerce authority; sunset continuation; reforms,2016-01-28T16:07:00,7.95,5,R,SB1426,Senate,40,3,60985,1,David C. Farnsworth,16
cooperative associations,2016-02-03T16:58:03,11.04,1,R,HB2614,House,40,3,378,5,Rick Gray,40
child care assistance,2016-01-14T11:39:38,9.82,2,R,HB2262,House,40,3,15340,1,Kate Brophy McGee,79
education omnibus,2016-01-13T14:17:33,7.55,5,R,HB2190,House,56,1,17367,1,Paul Boyer,60
technical correction; illegally taking wildlife,2016-01-12T14:21:45,18.69,1,R,HB2139,House,64,1,138,5,Kate Brophy McGee,79
tax credit; title I schools,2016-02-08T17:28:54,7.54,5,R,HB2676,House,40,3,336,5,Tony Rivero,61
early childhood literacy; school monies,2016-01-21T09:34:19,8.60,4,R,HCR2037,House,44,2,1867,3,Sonny Borrelli,35
incorrigible; dependent children; juvenile commitment,2016-01-14T15:25:46,10.01,2,R,HB2349,House,40,3,2225,3,Mark Finchem,80
high schools; academic growth awards,2016-01-13T17:30:34,7.97,4,D,HB2228,House,35,5,30,5,Reginald Bolding Jr.,46
TPT; Indian tribes; motor vehicles,2016-01-14T14:59:18,8.47,4,D,HB2315,House,35,5,2211,3,Albert Hale,51
teachers; alternative certification application,2016-01-26T10:36:59,9.16,3,R,SB1313,Senate,40,3,4645,2,Sylvia Allen,6
DUI; watercraft; medical practitioner; authorization,2016-01-25T14:20:54,11.74,1,R,SB1295,Senate,56,1,24506,1,Adam Driggs,28
firearms; prohibited governmental activities,2016-01-14T14:00:37,12.48,1,R,HB2300,House,60,1,405,4,Anthony Kern,64
school conference or activity leave,2016-01-14T17:07:19,15.24,1,D,HB2421,House,64,1,1110,4,Juan Mendez,62
schools; state seal of biliteracy,2016-01-20T17:03:56,11.21,1,R,SB1239,Senate,52,2,1912,3,Carlyle Begay,7
JTED funding reductions; repeal,2016-01-21T14:09:58,7.51,5,R,SB1258,Senate,40,3,2016,3,Don Shooter,13
unmanned aircraft systems; unlawful use,2016-01-08T11:35:07,8.44,4,R,HB2073,House,43.5,2,2344,3,Sonny Borrelli,35
collection; voted early ballots; limitation,2015-12-18T12:27:27,10.16,2,R,HB2010,House,48,2,3458,3,Anthony Kern,64
consideration of property rights; zoning,2016-01-20T16:39:49,8.44,4,R,SB1235,Senate,48,2,9315,2,David C. Farnsworth,16
public accommodations; antidiscrimination,2016-01-14T17:03:20,10.63,2,D,HB2414,House,52,2,6225,2,Stefanie Mach,89
vocational and technical education; evaluation,2016-01-14T17:13:41,8.11,4,R,HB2435,House,40,3,332,5,David W. Stevens,56
use fuel taxes; adjustment,2016-01-14T17:55:31,8.90,3,R,HB2493,House,40,3,29458,1,Russell Bowers,90
abortion; waiting period; informed consent,2016-02-01T15:18:00,13.30,1,D,SB1483,Senate,64,1,26667,1,Andrew C. Sherwood,91
committee of reference; chairperson; appointment,2016-01-11T08:44:06,9.78,2,R,HB2082,House,44,2,13001,1,David W. Stevens,56
public library operation; thirdparty contracts,2016-01-19T17:03:00,8.30,4,R,SB1198,Senate,40,3,1134,4,Gail Griffin,14
employment discrimination; prohibition,2016-01-14T17:02:46,9.59,2,D,HB2413,House,44,2,11985,1,Stefanie Mach,89
technical correction; insurance; uniform plans,2016-01-14T10:07:20,9.91,2,R,HB2239,House,28,5,101,5,Karen Fann,43
SNAP; benefit match; farmers markets,2016-01-21T16:52:02,7.56,5,D,HB2529,House,40,3,3046,3,Juan Mendez,62
national popular vote; interstate agreement.,2016-01-19T14:18:03,30.77,1,D,SB1165,Senate,64,1,10657,1,Barbara McGuire,8
ivory; rhinoceros horn; sales; prohibition.,2016-01-13T14:51:00,18.22,1,D,HB2176,House,60,1,1502,3,Richard C. Andrade,76
technical correction; adoption,2016-01-11T12:10:56,6.76,5,R,HB2102,House,28,5,64,5,John M. Allen,54
multiple committees; exploratory committees; repeal,2016-01-11T08:44:43,9.65,2,R,HB2083,House,48,2,49495,1,David W. Stevens,56
paid sick and safe time.,2016-01-13T14:51:35,11.63,1,D,HB2177,House,64,1,28391,1,Richard C. Andrade,76
STO credit; aggregate cap; freeze,2016-01-26T12:06:44,11.38,1,D,SB1317,Senate,47,2,2868,3,Steve Farley,9
universities; tuition cap; funding,2016-01-13T16:10:56,8.65,4,D,HB2214,House,40,3,5576,2,Jonathan R. Larkin,83
county motor vehicle fuel taxes,2015-12-11T08:55:20,9.69,2,D,SB1012,Senate,47,2,23578,1,Steve Farley,9
lead acid battery sales; fees,2016-01-12T13:47:42,9.64,2,R,HB2132,House,42,2,606,4,Warren H. Petersen,69
pest control advisor; task force,2016-02-05T15:17:31,7.32,5,R,HB2648,House,20,5,31,5,Steve Montenegro,66
ASRS; LTD program; liability,2016-01-14T10:09:34,9.62,2,R,HB2243,House,40,3,109,5,Bob Thorpe,70
national defense laws; prohibited actions,2016-01-29T14:55:34,11.43,1,R,SB1437,Senate,60,1,5305,2,Judy Burges,22
agriculture omnibus,2016-01-26T17:04:49,8.10,4,R,SB1344,Senate,44,2,7368,2,Steve Pierce,1
"early, all-mail ballots; mailing period",2015-12-30T09:44:20,8.71,3,R,HB2016,House,44,2,2743,3,David W. Stevens,56
public retirement systems; special election,2016-02-01T17:15:00,7.93,5,R,SB1429,Senate,40,3,1264,4,Debbie Lesko,21
legislative vacancies; appointment; requirements,2016-01-13T08:28:32,10.20,2,D,HB2156,House,40,3,3587,3,Randall Friese,45
medical board; license renewal,2016-01-14T16:01:13,10.11,2,R,HB2364,House,40,3,60,5,Heather Carter,81
presiding constable; selection; duties,2016-01-14T13:39:37,7.24,5,R,HB2287,House,40,3,34,5,Russell Bowers,90
license plate covers; prohibition,2015-11-18T12:25:43,9.71,2,D,SB1002,Senate,40,3,1270,4,Steve Farley,9
county school superintendents; qualifications,2016-01-07T14:01:46,8.96,3,R,HB2067,House,40,3,56,5,Jay Lawrence,71
telephone solicitations,2016-01-27T15:25:01,11.52,1,R,SB1375,Senate,56,1,2189,3,Debbie Lesko,21
historic federal highway; special plates,2016-01-12T14:33:19,9.68,2,R,HB2145,House,41.5,2,3088,3,Doug Coleman,55
sanitary district refunding bonds,2016-01-28T16:10:45,10.59,2,R,HB2561,House,40,3,8344,2,Noel W. Campbell,44
childrens health insurance program.,2016-01-28T14:11:34,7.45,5,R,SB1385,Senate,40,3,1403,3,Carlyle Begay,7
presidential preference election; independent voters,2015-12-29T11:46:44,9.41,3,D,SB1027,Senate,40,3,577,4,Martin Quezada,29
housing trust fund; unclaimed property,2016-01-14T16:48:07,8.78,3,D,HB2399,House,40,3,2207,3,Lela Alston,49
foreign nonprofit corporations; foreign LLCs.,2016-01-11T11:42:52,10.69,1,D,SB1068,Senate,56,1,14768,1,Martin Quezada,29
cash assistance; eligibility; children,2016-01-14T17:51:00,7.74,5,R,HB2452,House,40,3,7756,2,Jeff Weninger,88
municipal improvement districts; formation election,2016-01-14T17:16:27,9.40,3,R,HB2440,House,40,3,7190,2,Warren H. Petersen,69
automatic voter registration; political party,2016-01-28T14:27:04,9.61,2,D,SB1392,Senate,48,2,6776,2,Martin Quezada,29
state education board; membership; superintendents,2016-02-08T14:35:09,7.38,5,R,HCR2049,House,37,4,971,4,Mark Finchem,80
health insurance tax; repeal,2016-01-12T16:24:04,17.47,1,R,HCM2001,House,52,2,211,5,Vince Leach,31
foster care review boards; membership,2016-01-28T14:06:14,9.29,3,D,SB1387,Senate,48,2,5170,2,David Bradley,10
"student, teacher data collection; prohibitions.",2016-01-28T14:25:39,9.31,3,R,SB1389,Senate,52,2,7965,2,Judy Burges,22
voting age; sixteen years,2016-02-03T15:12:25,9.14,3,D,HCR2046,House,30,5,3762,3,Juan Mendez,62
rights of caregivers; recognition,2016-01-19T14:12:11,8.31,4,R,SCR1005,Senate,32,5,1566,3,Nancy Barto,15
internet crimes against children; appropriation,2016-01-14T18:05:43,8.05,4,R,HB2468,House,40,3,470,4,Paul Boyer,60
driver licenses; automatic voter registration,2015-12-08T14:29:12,9.61,2,D,SB1007,Senate,48,2,6440,2,Andrew C. Sherwood,91
credited service; military service purchase,2015-12-30T09:46:02,10.70,1,R,HB2019,House,44,2,14267,1,David W. Stevens,56
dual language education; study committee,2016-02-03T15:20:06,9.10,3,D,HB2609,House,40,3,425,4,Macario Saldate,72
G&F; heritage fund; expenditures,2016-01-27T14:12:24,7.40,5,R,SB1361,Senate,40,3,567,4,Gail Griffin,14
tax credit cap; angel investor,2016-01-14T16:23:29,10.88,1,R,SB1139,Senate,42.5,2,22268,1,David C. Farnsworth,16
restricted vehicle use; DUI; repeal,2016-01-19T14:17:43,6.90,5,R,HB2514,House,40,3,5171,2,Sonny Borrelli,35
DCS; backlog cases; private contractors,2016-01-14T16:51:18,7.61,5,R,SB1142,Senate,40,3,108,5,Debbie Lesko,21
countywide elections; vote by mail.,2016-01-27T14:26:25,8.90,3,R,SB1360,Senate,40,3,377,5,Bob Worsley,25
early ballots; verification; cure,2016-01-11T12:19:31,10.95,1,D,SB1081,Senate,35,5,1693,3,Martin Quezada,29
Arizona commerce authority; continuation; report,2016-02-01T16:22:00,7.06,5,R,SB1501,Senate,40,3,2061,3,Kimberly Yee,20
unemployment insurance; eligibility; full-time students,2016-01-21T14:17:18,13.62,1,D,SB1261,Senate,55,1,8967,2,Barbara McGuire,8
paid sick and safe time,2016-01-13T15:38:52,11.64,1,D,HB2196,House,64,1,28319,1,Jonathan R. Larkin,83
public buildings; energy conservation.,2016-02-03T15:07:59,8.07,4,D,HB2603,House,44,2,2858,3,Juan Mendez,62
corporation commission; electronic filings,2016-01-25T17:27:03,6.54,5,R,SB1309,Senate,16,5,46,5,Gail Griffin,14
ASRS; contributions; adjustments,2016-01-15T10:23:41,10.00,2,R,SB1144,Senate,40,3,522,4,Debbie Lesko,21
executive clemency board; executive session,2016-01-20T16:47:13,9.78,2,D,SB1229,Senate,40,3,5323,2,Catherine Miranda,27
claim; notice; public entity; exception,2016-01-27T14:25:22,7.59,5,D,SB1364,Senate,30.5,5,1241,4,Olivia Cajero Bedford,3
provisional ballots; tally; verification,2016-01-11T12:18:20,11.46,1,D,SB1078,Senate,43,2,7092,2,Martin Quezada,29
adverse childhood experiences; prevention.,2016-01-28T14:14:21,7.80,5,D,SCR1014,Senate,35,5,922,4,Steve Farley,9
adoption; birth parent information; release,2016-01-28T09:48:51,10.04,2,R,SB1379,Senate,40,3,3882,2,Judy Burges,22
large electronics recycling program,2016-01-14T13:37:55,9.94,2,D,HB2284,House,60,1,17093,1,Juan Mendez,62
state-owned bank task force,2016-01-25T16:05:46,7.29,5,D,SB1301,Senate,48,2,9036,2,Andrea Dalessandro,2
pharmacists; licensure,2016-01-11T15:50:56,9.04,3,R,HB2109,House,44,2,878,4,Paul Boyer,60
supervisory appraisers; duties,2016-01-14T11:40:12,10.05,2,R,HB2263,House,51,2,10963,1,Kate Brophy McGee,79
witnesses; health care providers; subpoenas,2016-01-14T18:02:38,17.03,1,R,HB2464,House,60,1,675,4,Kate Brophy McGee,79
adjustable consumer loans; licensure,2016-01-28T16:11:00,9.95,2,R,SB1427,Senate,52,2,24653,1,David C. Farnsworth,16
erroneous convictions; civil action,2016-02-04T18:40:05,8.72,3,D,HB2639,House,40,3,353,5,Macario Saldate,72
sale and relocation; state fair,2016-01-28T11:12:25,8.43,4,D,SB1380,Senate,35,5,12304,1,Robert Meza,30
wine; direct shipment,2016-01-28T12:29:21,9.70,2,R,SB1381,Senate,51,2,3406,3,Nancy Barto,15
regulatory boards; sunrise; draft legislation,2016-01-14T15:17:29,8.68,4,R,HB2353,House,35,5,369,5,Heather Carter,81
child care waiting list; appropriation,2016-01-14T17:17:21,9.49,3,D,HB2425,House,36,5,10747,1,Juan Mendez,62
body art establishments; minimum standards,2016-01-27T15:24:33,8.63,4,R,SB1374,Senate,47.5,2,836,4,Debbie Lesko,21
employment; housing; public accommodations; antidiscrimination,2016-01-20T08:25:12,12.73,1,D,SB1199,Senate,60,1,65995,1,Andrew C. Sherwood,91
parent-child relationship; termination; petition,2016-01-26T15:13:00,8.51,4,D,SB1330,Senate,40,3,896,4,Lynne Pancrazi,4
fiduciary access to digital assets.,2016-01-28T15:09:17,12.46,1,R,SB1413,Senate,64,1,20442,1,Adam Driggs,28
charitable tax credit; contribution date,2016-01-20T14:20:54,17.32,1,R,SB1217,Senate,60,1,246,5,Steve Yarbrough,17
vehicle certificates of title,2016-01-27T14:17:03,9.31,3,R,SB1357,Senate,68,1,178039,1,Bob Worsley,25
fire districts; wildland fires; budgets,2016-01-21T09:13:41,7.99,4,R,SB1244,Senate,40,3,29092,1,Sylvia Allen,6
Cherrybell; mail processing center,2016-01-25T16:07:35,8.25,4,D,SCM1009,Senate,23,5,255,5,Andrea Dalessandro,2
prisoners; mental health; transition program,2016-01-29T16:46:50,8.44,4,R,SB1439,Senate,40,3,494,4,Nancy Barto,15
private postsecondary institutions; police officers,2016-01-20T17:04:23,8.44,4,R,SB1240,Senate,40,3,2355,3,John Kavanagh,23
DCS; child abuse; neglect; reports,2016-01-14T12:14:01,9.04,3,R,HB2269,House,40,3,640,4,John M. Allen,54
AHCCCS; podiatry services,2016-01-14T15:19:48,7.29,5,R,HB2357,House,40,3,1288,4,Heather Carter,81
real estate; fund; prosecutor,2016-01-13T14:18:39,9.26,3,R,HB2191,House,40,3,294,5,Mark Finchem,80
DUI; drugs; ignition interlock requirement,2016-01-20T15:34:05,11.33,1,R,SB1228,Senate,40,3,9750,2,John Kavanagh,23
local government bonds; ballot statement,2016-02-01T09:29:01,10.76,1,R,HB2570,House,47.5,2,4733,2,John M. Allen,54
insurance; licensed entities,2016-01-14T15:21:52,10.01,2,R,HB2342,House,51,2,13077,1,David Livingston,41
mobile home removal; licensure; noncompliance,2016-01-14T11:37:56,9.19,3,R,HB2259,House,40,3,9078,2,Kate Brophy McGee,79
permanent early voting; ballots; verification,2015-12-29T11:47:52,10.34,2,D,SB1030,Senate,40,3,4858,2,Martin Quezada,29
racial profiling; prohibition; reporting,2016-01-20T16:31:15,10.19,2,D,SB1231,Senate,56,1,5632,2,Catherine Miranda,27
public safety; violence prevention; committee,2015-12-18T14:24:08,9.93,2,D,HB2011,House,40,3,1401,3,Randall Friese,45
uniform firearms transfer compact,2016-01-21T15:14:58,14.95,1,R,HB2524,House,60,1,5396,2,Bob Thorpe,70
real estate licenses; broker possession,2016-01-19T16:56:44,10.51,2,R,SB1193,Senate,40,3,98,5,Gail Griffin,14
misconduct involving weapons; public places,2016-01-21T14:00:41,8.03,4,R,SB1257,Senate,40,3,2142,3,John Kavanagh,23
G&F; penalties; law enforcement; omnibus,2016-02-01T15:50:19,6.48,5,R,HB2575,House,20,5,989,4,Regina Cobb,38
indoor tanning; minors; restricted use,2016-01-20T13:53:29,10.00,2,R,HB2516,House,64,1,5219,2,Regina Cobb,38
JTEDs; funding reduction; repeal..,2016-01-14T14:28:41,8.08,4,R,SB1130,Senate,36,5,791,4,Kimberly Yee,20
natural gas delivery; tax exemption,2016-02-01T16:30:00,8.32,4,R,SB1505,Senate,40,3,16610,1,Bob Worsley,25
class six property; elderly homeowners,2016-01-06T16:29:48,9.15,3,D,HB2055,House,40,3,1605,3,Mark A. Cardenas,58
CTE instructors; specialized teaching certificates,2016-02-01T16:23:00,8.37,4,R,SB1502,Senate,35,5,75,5,Kimberly Yee,20
genetic testing; informed consent,2016-01-12T14:32:45,10.21,2,R,HB2144,House,44,2,653,4,Doug Coleman,55
unclaimed property; revenue department contracts,2016-01-14T15:22:25,7.67,5,R,HB2343,House,40,3,43,5,David Livingston,41
limited service pregnancy centers; regulation,2016-01-13T15:38:54,11.86,1,D,HB2206,House,44,2,416,4,Eric Meyer,42
independent business status; declaration,2016-01-11T16:13:27,8.17,4,R,HB2114,House,35,5,559,4,Warren H. Petersen,69
ALTCS; dental services,2016-02-01T16:31:00,6.73,5,R,SB1507,Senate,40,3,6694,2,Carlyle Begay,7
eligibility verification; public programs,2016-01-28T16:09:12,10.37,2,R,HB2559,House,78.5,1,13854,1,Anthony Kern,64
schools; compulsory attendance age; increase,2016-01-14T15:03:22,8.19,4,D,SB1134,Senate,35,5,558,4,Barbara McGuire,8
adult incarceration contracts; cost comparison,2016-01-19T15:52:52,25.99,1,D,SB1173,Senate,66,1,110,5,Steve Farley,9
veterans; state park; appropriation,2016-02-04T18:25:39,8.05,4,D,HB2621,House,40,3,143,5,Jonathan R. Larkin,83
appropriations; community services and programs.,2016-02-01T14:20:00,7.80,5,D,SB1467,Senate,40,3,6607,2,Katie Hobbs,24
urging Congress; increase customs personnel,2016-01-25T16:08:02,7.92,5,D,SCM1010,Senate,28,5,732,4,Andrea Dalessandro,2
public retirement system benefits,2016-02-01T17:15:00,7.55,5,R,SCR1019,Senate,30,5,1519,3,Debbie Lesko,21
alarm industry; fingerprint requirements,2016-01-19T14:19:36,9.18,3,R,SB1162,Senate,40,3,4194,2,John Kavanagh,23
technical correction; information technology fund,2016-01-11T08:46:57,8.37,4,R,HB2087,House,19,5,34,5,David W. Stevens,56
racing; hardship tax credit; repeal,2016-02-08T14:34:23,8.44,4,D,HB2660,House,31,5,1686,3,Bruce Wheeler,67
property tax; disabled veterans residences,2016-01-28T16:39:10,6.78,5,R,SB1431,Senate,40,3,2661,3,Gail Griffin,14
trade deals; urging Congress,2016-01-28T16:12:13,8.04,4,D,HM2001,House,52,2,6241,2,Richard C. Andrade,76
arms trade treaty; urging Congress,2016-01-28T15:24:01,8.91,3,R,SCM1013,Senate,48,2,637,4,Gail Griffin,14
child protection registry; prohibited communications,2016-01-14T18:12:20,11.96,1,R,HB2458,House,64,1,973,4,Kate Brophy McGee,79
minimum wage; adjustment; uniformity,2016-01-26T12:31:33,7.55,5,D,HB2545,House,56,1,2108,3,Jonathan R. Larkin,83
school pupils; academic intervention,2016-01-13T15:38:20,7.94,5,D,HB2205,House,40,3,14249,1,Eric Meyer,42
genetically engineered foods; labeling,2016-01-14T13:24:38,12.89,1,D,HB2275,House,60,1,19876,1,Juan Mendez,62
cosmetology; omnibus,2016-01-05T07:57:23,8.30,4,R,HB2035,House,32,5,1205,4,David M. Gowan Sr.,50
state law; local violations; penalties,2016-02-01T15:25:00,8.28,4,R,SB1487,Senate,40,3,24654,1,Andy Biggs,12
